"Rishon LeZion","Rishon LeZion"
"Rahat","Rahat"
"Rehovot","Rehovot"
"Ramla","Ramla"
"Ramat Gan","Ramat Gan"
"Ramat HaSharon","Ramat HaSharon"
"Ra'anana","Ra'anana"
"Sderot","Sderot"
"Shefa-'Amr","Shefa-'Amr"
"Tel Aviv","Tel Aviv"
"Abu Ghosh","Abu Ghosh"
"Abu Snan","Abu Snan"
"Even Yehuda","Even Yehuda"
"Oranit","Oranit"
"Azor","Azor"
"Iksal","Iksal"
"Elyakhin","Elyakhin"
"Alfei Menashe","Alfei Menashe"
"Elkana","Elkana"
"I'billin","I'billin"
"Efrat","Efrat"
"Be'er Ya'akov","Be'er Ya'akov"
"Bu'eine Nujeidat","Bu'eine Nujeidat"
"Buq'ata","Buq'ata"
"Bir al-Maksur","Bir al-Maksur"
"Beit El","Beit El"
"Beit Aryeh-Ofarim","Beit Aryeh-Ofarim"
"Beit Jann","Beit Jann"
"Beit Dagan","Beit Dagan"
"Bnei Ayish","Bnei Ayish"
"Binyamina-Giv'at Ada","Binyamina-Giv'at Ada"
"Basma","Basma"
"Basmat Tab'un","Basmat Tab'un"
"Bi'ina","Bi'ina"
"Giv'at Ze'ev","Giv'at Ze'ev"
"Jadeidi-Makr","Jadeidi-Makr"
"Gedera","Gedera"
"Julis","Julis"
"Jaljulia","Jaljulia"
"Gan Yavne","Gan Yavne"
"Ganei Tikva","Ganei Tikva"
"Jisr az-Zarqa","Jisr az-Zarqa"
"Jish","Jish"
"Jatt","Jatt"
"Daliyat al-Karmel","Daliyat al-Karmel"
"Daburiyya","Daburiyya"
"Deir al-Asad","Deir al-Asad"
"Deir Hanna","Deir Hanna"
"Har Adar","Har Adar"
"Zikhron Ya'akov","Zikhron Ya'akov"
"Zemer","Zemer"
"Zarzir","Zarzir"
"Hura","Hura"
"Hurfeish","Hurfeish"
"Hatzor HaGlilit","Hatzor HaGlilit"
"Tuba-Zangariyye","Tuba-Zangariyye"
"Tur'an","Tur'an"
"Yanuh-Jat","Yanuh-Jat"
"Yavne'el","Yavne'el"
"Yesud HaMa'ala","Yesud HaMa'ala"
"Yafa an-Naseriyye","Yafa an-Naseriyye"
"Yeruham","Yeruham"
"Yarka","Yarka"
"Kabul","Kabul"
"Kaukab Abu al-Hija","Kaukab Abu al-Hija"
"Kokhav Ya'ir","Kokhav Ya'ir"
"Kuseife","Kuseife"
"Kisra-Sumei","Kisra-Sumei"
"Ka'abiyye-Tabbash-Hajajre","Ka'abiyye-Tabbash-Hajajre"
"Kafr Bara","Kafr Bara"
"Kfar Vradim","Kfar Vradim"
"Kafr Yasif","Kafr Yasif"
"Kfar Yona","Kfar Yona"
"Kfar Kama","Kfar Kama"
"Kafr Kanna","Kafr Kanna"
"Kafr Manda","Kafr Manda"
"Kafr Qara","Kafr Qara"
"Kfar Shmaryahu","Kfar Shmaryahu"
"Kfar Tavor","Kfar Tavor"
"Lehavim","Lehavim"
"Lakiya","Lakiya"
"Mevaseret Zion","Mevaseret Zion"
"Maghar","Maghar"
"Majd al-Krum","Majd al-Krum"
"Migdal","Migdal"
"Majdal Shams","Majdal Shams"
"Mazkeret Batya","Mazkeret Batya"
"Mazra'a","Mazra'a"
"Metula","Metula"
"Meitar","Meitar"
"Mas'ade","Mas'ade"
"Mi'ilya","Mi'ilya"
"Ma'ale Efrayim","Ma'ale Efrayim"
"Ma'ale Iron","Ma'ale Iron"
"Mitzpe Ramon","Mitzpe Ramon"
"Mashhad","Mashhad"
"Nahf","Nahf"
"Sajur","Sajur"
"Savyon","Savyon"
"Ghajar","Ghajar"
"Omer","Omer"
"Eilabun","Eilabun"
"Ilut","Ilut"
"Ein Mahil","Ein Mahil"
"Ein Qiniyye","Ein Qiniyye"
"Immanuel","Immanuel"
"Isfiya","Isfiya"
"Arraba","Arraba"
"Ar'ara","Ar'ara"
"Ar'arat an-Naqab","Ar'arat an-Naqab"
"Fureidis","Fureidis"
"Fassuta","Fassuta"
"Peki'in","Peki'in"
"Pardes Hanna-Karkur","Pardes Hanna-Karkur"
"Pardesiya","Pardesiya"
"Kedumim","Kedumim"
"Tzoran-Kadima","Tzoran-Kadima"
"Katzir-Harish","Katzir-Harish"
"Katzrin","Katzrin"
"Kiryat Arba","Kiryat Arba"
"Kiryat Tiv'on","Kiryat Tiv'on"
"Kiryat Ye'arim","Kiryat Ye'arim"
"Kiryat Ekron","Kiryat Ekron"
"Karnei Shomron","Karnei Shomron"
"Rameh","Rameh"
"Rosh Pinna","Rosh Pinna"
"Reineh","Reineh"
"Rekhasim","Rekhasim"
"Ramat Yishai","Ramat Yishai"
"Shibli–Umm al-Ghanam","Shibli–Umm al-Ghanam"
"Shaqib al-Salam","Shaqib al-Salam"
"Shoham","Shoham"
"Shlomi","Shlomi"
"Sha'ab","Sha'ab"
"Tel Mond","Tel Mond"
"Tel as-Sabi","Tel as-Sabi"
"Abu Basma","Abu Basma"
"El-Batuf","El-Batuf"
"Alona","Alona"
"Eshkol","Eshkol"
"Be'er Tuvia","Be'er Tuvia"
"Bustan El-Marj","Bustan El-Marj"
"Bnei Shim'on","Bnei Shim'on"
"Brenner","Brenner"
"Gederot","Gederot"
"Golan","Golan"
"Gush Etzion","Gush Etzion"
"Gezer","Gezer"
"Gan Raveh","Gan Raveh"
"Drom HaSharon","Drom HaSharon"
"HaGilboa","HaGilboa"
"HaGalil HaElion","HaGalil HaElion"
"HaGalil HaTachton","HaGalil HaTachton"
"HaArava HaTichonah","HaArava HaTichonah"
"Har Hermon","Har Hermon"
"Zevulun","Zevulun"
"Hevel Eilot","Hevel Eilot"
"Hevel Yavne","Hevel Yavne"
"Hevel Modi'in","Hevel Modi'in"
"Hof Ashkelon","Hof Ashkelon"
"Hof HaCarmel","Hof HaCarmel"
"Hof HaSharon","Hof HaSharon"
"Yoav","Yoav"
"Lev HaSharon","Lev HaSharon"
"Lachish","Lachish"
"Mevo'ot HaHermon","Mevo'ot HaHermon"
"Megiddo","Megiddo"
"Megillot Yam HaMelach","Megillot Yam HaMelach"
"Mate Asher","Mate Asher"
"Mate Binyamin","Mate Binyamin"
"Mate Yehuda","Mate Yehuda"
"Menashe","Menashe"
"Ma'aleh Yosef","Ma'aleh Yosef"
"Merom HaGalil","Merom HaGalil"
"Merchavim","Merchavim"
"Misgav","Misgav"
"Nahal Sorek","Nahal Sorek"
"Emek HaYarden","Emek HaYarden"
"Emek HaMa'ayanot","Emek HaMa'ayanot"
"Emek Chefer","Emek Chefer"
"Emek Yizreel","Emek Yizreel"
"Emek Lod","Emek Lod"
"Arvot HaYarden","Arvot HaYarden"
"Ramat Negev","Ramat Negev"
"Sedot Negev","Sedot Negev"
"Shomron","Shomron"
"Sha'ar HaNegev","Sha'ar HaNegev"
"Shafir","Shafir"
"Tamar","Tamar"
