"Government","حكومة"
"Yanuh-Jat","طوبا-زنغريا"
"Yavne'el","يفنئل"
"Yesud HaMa'ala","يسود همعلاة"
"Yafa an-Naseriyye","يفيع"
"Yeruham","يروحام"
"Yarka","يركا"
"Kabul","كابول"
"Kaukab Abu al-Hija","كاوكب أبو - الهيجاء"
"Kokhav Ya'ir","كوخاف يائير"
"Kuseife","كسيفه"
"Kisra-Sumei","الكسرة - ساميع"
"Ka'abiyye-Tabbash-Hajajre","كعبيا-طباش-حجاجرة"
"Kafr Bara","كفر برا"
"Kfar Vradim","كفر ورود"
"Kafr Yasif","كفرياسيف"
"Kfar Yona","كفار يونا"
"Kfar Kama","كفر كما"
"Kafr Kanna","كفر كنا"
"Kafr Manda","كفر مندا"
"Kafr Qara","كفر قرع"
"Kfar Shmaryahu","كفر شمرياهو"
"Kfar Tavor","كفار تابور"
"Lehavim","لهافيم"
"Lakiya","لاكيا"
"Mevaseret Zion","مفاشرت تسيون"
"Maghar","المغار"
"Majd al-Krum","مجد الكروم"
"Migdal","مجدل"
"Majdal Shams","مجدل شمس"
"Mazkeret Batya","مزكيرت باتيا"
"Mazra'a","مزرعه"
"Metula","ماتولا"
"Meitar","ميتر"
"Mas'ade","مسعدة"
"Mi'ilya","معليا"
"Ma'ale Efrayim","معاليه افرايم"
"Ma'ale Iron","معاليه عيرون"
"Mitzpe Ramon","ميتسبي رامون"
"Mashhad","المشهد"
"Nahf","نحف"
"Sajur","ساجور"
"Savyon","سسافيون"
"Ghajar","غجر"
"Omer","عمر"
"Eilabun","علابون"
"Ilut","عيلوط"
"Ein Mahil","عين ماهل"
"Ein Qiniyye","عين قنية"
"Immanuel","عيمانويل"
"Isfiya","عصفيا"
"Arraba","عرابة"
"Ar'ara","عرعرة المثلث"
"Ar'arat an-Naqab","عرعرة-الجنوب"
"Fureidis","الفريديس"
"Fassuta","فصوطه"
"Peki'in","البقيعة"
"Pardes Hanna-Karkur","بارديس حنا-كركور"
"Pardesiya","فردسية"
"Kedumim","كدوميم"
"Tzoran-Kadima","كاديما- زوران"
"Katzir-Harish","كتسير - حريش"
"Katzrin","كتسيرين"
"Kiryat Arba","كريات أربع"
"Kiryat Tiv'on","كريات طبعون"
"Kiryat Ye'arim","كريات يعاريم"
"Kiryat Ekron","كريات عقرون"
"Karnei Shomron","كارني شومرون"
"Rameh","الرامة"
"Rosh Pinna","روش بينا"
"Reineh","الرينة"
"Rekhasim","رخاسيم"
"Ramat Yishai","رمات يشاي"
"Shibli–Umm al-Ghanam","شبلي-اوم الغنم"
"Shaqib al-Salam","شقيب السلام"
"Shoham","شوهام"
"Shlomi","شلومي"
"Sha'ab","شعب"
"Tel Mond","تل موند"
"Tel as-Sabi","تل السبع"
"Abu Basma","أبو بسمة"
"El-Batuf","البطوف"
"Alona","الونا"
"Eshkol","اشكول"
"Be'er Tuvia","بئر طوبيا"
"Bustan El-Marj","بستان المارج"
"Bnei Shim'on","بني شمعون"
"Brenner","برينر"
"Gederot","جدروت"
"Golan","الجولان"
"Gush Etzion","غوش عتصيون"
"Gezer","جيزير"
"Gan Raveh","غن رافه"
"Drom HaSharon","جنوب شارون"
"HaGilboa","جلبوع"
"HaGalil HaElion","الجليل الأعلى"
"HaGalil HaTachton","لاجليل الاسفل"
"HaArava HaTichonah","وادي عربة"
"Har Hermon","جبل الخليل"
"Zevulun","زبولون"
"Hevel Eilot","حبل إيلوت"
"Hevel Yavne","حبل يفنه"
"Hevel Modi'in","حبل موديعين"
"Hof Ashkelon","شاطئ اشكلون"
"Hof HaCarmel","شاطئ الكرمل"
"Hof HaSharon","شاطئ شارون"
"Yoav","يوآف"
"Lev HaSharon","ليف هشارون"
"Lachish","لخيش"
"Mevo'ot HaHermon","مقدمات حرمون"
"Megiddo","مجيدو"
"Megillot Yam HaMelach","مخطوطات البحر الميت"
"Mate Asher","ماطه آشر"
"Mate Binyamin","ماطه بنيامين"
"Mate Yehuda","ماطه يهودا"
"Menashe","منشه"
"Ma'aleh Yosef","معاليه يوسيف"
"Merom HaGalil","ميروم الجليل"
"Merchavim","ميرهافيم"
"Misgav","مسغاف"
"Nahal Sorek","ناحال سوريك"
"Emek HaYarden","وادي الأردن"
"Emek HaMa'ayanot","وادي الينابيع"
"Emek Chefer","عيمك حيفر"
"Emek Yizreel","عيمك يزرعيل"
"Emek Lod","عيمك اللد"
"Arvot HaYarden","عرفوت الأردن"
"Ramat Negev","رمات النقب"
"Sedot Negev","سدوت النقب"
"Shomron","شومرون"
"Sha'ar HaNegev","شعار هانيغيف"
"Shafir","شافير"
"Tamar","تامار"
